"STATISTIC","Statistic Label","TLIST(A1)","Year","C03341V04028","Stamp Duty Event","C03722V04470","Type of Buyer","C03789V04537","Local Authority Area","UNIT","VALUE"
"CRP08C1","Volume of Sales","2010","2010","01","Filings","-","All buyer types","IE0","Ireland","Number","19300"
"CRP08C1","Volume of Sales","2010","2010","01","Filings","-","All buyer types","2ae19629-1434-13a3-e055-000000000001","Cork City Council","Number","490"
"CRP08C1","Volume of Sales","2010","2010","01","Filings","-","All buyer types","2ae19629-14a2-13a3-e055-000000000001","Clare County Council","Number","500"
"CRP08C1","Volume of Sales","2010","2010","01","Filings","-","All buyer types","2ae19629-149d-13a3-e055-000000000001","Cavan County Council","Number","310"
"CRP08C1","Volume of Sales","2010","2010","01","Filings","-","All buyer types","2ae19629-14a3-13a3-e055-000000000001","Cork County Council","Number","1550"
"CRP08C1","Volume of Sales","2010","2010","01","Filings","-","All buyer types","2ae19629-1492-13a3-e055-000000000001","Carlow County Council","Number","160"
"CRP08C1","Volume of Sales","2010","2010","01","Filings","-","All buyer types","2ae19629-1433-13a3-e055-000000000001","Dublin City Council","Number","2570"
"CRP08C1","Volume of Sales","2010","2010","01","Filings","-","All buyer types","2ae19629-149f-13a3-e055-000000000001","Dún Laoghaire Rathdown County Council","Number","1270"
"CRP08C1","Volume of Sales","2010","2010","01","Filings","-","All buyer types","2ae19629-14a4-13a3-e055-000000000001","Donegal County Council","Number","560"
"CRP08C1","Volume of Sales","2010","2010","01","Filings","-","All buyer types","2ae19629-14a0-13a3-e055-000000000001","Fingal County Council","Number","1390"
"CRP08C1","Volume of Sales","2010","2010","01","Filings","-","All buyer types","2ae19629-14a5-13a3-e055-000000000001","Galway County Council","Number","500"
"CRP08C1","Volume of Sales","2010","2010","01","Filings","-","All buyer types","2ae19629-1435-13a3-e055-000000000001","Galway City Council","Number","360"
"CRP08C1","Volume of Sales","2010","2010","01","Filings","-","All buyer types","2ae19629-14a7-13a3-e055-000000000001","Kildare County Council","Number","990"
"CRP08C1","Volume of Sales","2010","2010","01","Filings","-","All buyer types","2ae19629-14a8-13a3-e055-000000000001","Kilkenny County Council","Number","330"
"CRP08C1","Volume of Sales","2010","2010","01","Filings","-","All buyer types","2ae19629-14a6-13a3-e055-000000000001","Kerry County Council","Number","560"
"CRP08C1","Volume of Sales","2010","2010","01","Filings","-","All buyer types","2ae19629-1490-13a3-e055-000000000001","Longford County Council","Number","130"
"CRP08C1","Volume of Sales","2010","2010","01","Filings","-","All buyer types","2ae19629-1491-13a3-e055-000000000001","Louth County Council","Number","460"
"CRP08C1","Volume of Sales","2010","2010","01","Filings","-","All buyer types","2ae19629-148f-13a3-e055-000000000001","Limerick City & County Council","Number","730"
"CRP08C1","Volume of Sales","2010","2010","01","Filings","-","All buyer types","2ae19629-148e-13a3-e055-000000000001","Leitrim County Council","Number","140"
"CRP08C1","Volume of Sales","2010","2010","01","Filings","-","All buyer types","2ae19629-148d-13a3-e055-000000000001","Laois County Council","Number","300"
"CRP08C1","Volume of Sales","2010","2010","01","Filings","-","All buyer types","2ae19629-1494-13a3-e055-000000000001","Meath County Council","Number","860"
"CRP08C1","Volume of Sales","2010","2010","01","Filings","-","All buyer types","2ae19629-1495-13a3-e055-000000000001","Monaghan County Council","Number","170"
