"STATISTIC","Statistic Label","TLIST(A1)","Year","C03341V04028","Stamp Duty Event","C03722V04470","Type of Buyer","C03789V04537","Local Authority Area","UNIT","VALUE"
"CRP08C1","Volume of Sales","2017","2017","02","Executions","140","Buyer without Mortgage","2ae19629-1496-13a3-e055-000000000001","Offaly County Council","Number","230"
"CRP08C1","Volume of Sales","2017","2017","02","Executions","140","Buyer without Mortgage","2ae19629-1497-13a3-e055-000000000001","Roscommon County Council","Number","390"
"CRP08C1","Volume of Sales","2017","2017","02","Executions","140","Buyer without Mortgage","2ae19629-14a1-13a3-e055-000000000001","South Dublin County Council","Number","450"
"CRP08C1","Volume of Sales","2017","2017","02","Executions","140","Buyer without Mortgage","2ae19629-1498-13a3-e055-000000000001","Sligo County Council","Number","360"
"CRP08C1","Volume of Sales","2017","2017","02","Executions","140","Buyer without Mortgage","2ae19629-1499-13a3-e055-000000000001","Tipperary County Council","Number","660"
"CRP08C1","Volume of Sales","2017","2017","02","Executions","140","Buyer without Mortgage","2ae19629-149a-13a3-e055-000000000001","Waterford City & County Council","Number","630"
"CRP08C1","Volume of Sales","2017","2017","02","Executions","140","Buyer without Mortgage","2ae19629-149b-13a3-e055-000000000001","Westmeath County Council","Number","390"
"CRP08C1","Volume of Sales","2017","2017","02","Executions","140","Buyer without Mortgage","2ae19629-149e-13a3-e055-000000000001","Wicklow County Council","Number","520"
"CRP08C1","Volume of Sales","2017","2017","02","Executions","140","Buyer without Mortgage","2ae19629-149c-13a3-e055-000000000001","Wexford County Council","Number","820"
"CRP08C1","Volume of Sales","2018","2018","01","Filings","-","All buyer types","IE0","Ireland","Number","44500"
"CRP08C1","Volume of Sales","2018","2018","01","Filings","-","All buyer types","2ae19629-1434-13a3-e055-000000000001","Cork City Council","Number","1020"
"CRP08C1","Volume of Sales","2018","2018","01","Filings","-","All buyer types","2ae19629-14a2-13a3-e055-000000000001","Clare County Council","Number","960"
"CRP08C1","Volume of Sales","2018","2018","01","Filings","-","All buyer types","2ae19629-149d-13a3-e055-000000000001","Cavan County Council","Number","650"
"CRP08C1","Volume of Sales","2018","2018","01","Filings","-","All buyer types","2ae19629-14a3-13a3-e055-000000000001","Cork County Council","Number","3750"
"CRP08C1","Volume of Sales","2018","2018","01","Filings","-","All buyer types","2ae19629-1492-13a3-e055-000000000001","Carlow County Council","Number","470"
"CRP08C1","Volume of Sales","2018","2018","01","Filings","-","All buyer types","2ae19629-1433-13a3-e055-000000000001","Dublin City Council","Number","5370"
"CRP08C1","Volume of Sales","2018","2018","01","Filings","-","All buyer types","2ae19629-149f-13a3-e055-000000000001","Dún Laoghaire Rathdown County Council","Number","2690"
"CRP08C1","Volume of Sales","2018","2018","01","Filings","-","All buyer types","2ae19629-14a4-13a3-e055-000000000001","Donegal County Council","Number","1100"
"CRP08C1","Volume of Sales","2018","2018","01","Filings","-","All buyer types","2ae19629-14a0-13a3-e055-000000000001","Fingal County Council","Number","3710"
"CRP08C1","Volume of Sales","2018","2018","01","Filings","-","All buyer types","2ae19629-14a5-13a3-e055-000000000001","Galway County Council","Number","1240"
"CRP08C1","Volume of Sales","2018","2018","01","Filings","-","All buyer types","2ae19629-1435-13a3-e055-000000000001","Galway City Council","Number","840"
"CRP08C1","Volume of Sales","2018","2018","01","Filings","-","All buyer types","2ae19629-14a7-13a3-e055-000000000001","Kildare County Council","Number","2400"
"CRP08C1","Volume of Sales","2018","2018","01","Filings","-","All buyer types","2ae19629-14a8-13a3-e055-000000000001","Kilkenny County Council","Number","640"
